stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\jason\Documents\C Projects\Blasteroids\Debug\allegro5.cfg r
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00000] Also searching C:\Users\jason\Documents\C Projects\Blasteroids\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.5
dtor     D               dtor.c:196  _al_register_destructor          [   0.00025] added dtor for timer 0026E778, func 0FE2168B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00029] added dtor for queue 00255110, func 0FE21541
system   D            wsystem.c:802  maybe_parent_dir                 [   0.00040] Also searching C:\Users\jason\Documents\C Projects\Blasteroids\
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.00058] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:763  load_library_at_path             [   0.00060] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:766  load_library_at_path             [   0.00452] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.01669] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1768 d3d_create_display_locked        [   0.01834] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.01838] al_display=00A6C8C0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.01840] al_display->vt=00289BA8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.02272] found 64 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.02277] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02280] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02282] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02285] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02287] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02289] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02291] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02294] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02296] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02298] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02300] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02303] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02305] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02307] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02309] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02312] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02319] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02322] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02324] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02327] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02329] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02331] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02333] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02336] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02338] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02340] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02342] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02345] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02347] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02349] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02351] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02354] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.02356] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02358] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02361] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02363] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02365] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02368] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02370] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02373] Single Buffer requirement not met.
